"Style Number","Alternate Style Number (usually other color)","Catalog Number","Delivery Ex-Works","Delivery Last Update","List Price US$","Insulator Type","Color","Outline Drawing","Download Drawing","Apparatus","Standard","Bushing Type","Oil Indication","Application","Mounting Position","Connection Type","Current Version","Voltage Class","kV BIL","Max kV L-G","Cantilever Design Test Rating Upper Value","Cantilever Design Test Rating Lower Value","Approximate Capacitance C1","Approximate Capacitance C2","Current Rating Draw Lead","Bottom Connected","Oil Circuit Breaker","Lower End Length (L)","C.T. Pocket Transformer","C.T. Pocket Oil Circuit Breaker","Exposable Length Transformer (EL)","Exposable Length Oil Circuit Breaker (EL)","Max. Dia. From 1"" below Flange to Lower End of Bushing (D)","Upper End Length (B)","Minimum Creep","Arcing Distance","Lowest High Voltage (LHV)","Cable Height/Pin Height for AB Bushings (CH)","Maximum Altitude","Approximate Weight","Top End Terminal - Thread Dia and Class or number of Pads and Holes Per Pad","Top End Terminal - Length and Type or Dia, and Type of Holes","Top End Terminal - Thread Plating","Top End Terminal - Top Terminal Comments","Bottom End Terminal - Terminal Type","Bottom End Terminal - Min Outside Diameter","Bottom End Terminal - Bottom Terminal Comments","Max Inside Diameter (P)","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","Epoxy Coated Shield and Terminal Kit","Flange Mounting Comments","Special Features"
"050114RJ01C","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","3.0","46 kV","250 kV","29 kV","","","324 pfds.","pfds.","400 Amps","","","27 in.","16.5 in.","","16.5 in.","","4.12 in.","33.625 in.","39.5 in.","18.125 in.","23.5 in.","29.812 in.","10000 ft.","73 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12x2.25 x","Min Outside Diameter","Bottom Terminal Comments",".875 id tube","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.875 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 Slots - 8.250 BC",""
"050215RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Glass Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","2.0","46 kV","250 kV","30 kV","","","pfds.","pfds.","","5000 Amps","","38.75 in.","23 in.","","23 in.","","8.5 in.","42.125 in.","45.75 in.","24.5 in.","30.5 in.","","10000 ft.","393 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","4-10 x 6.25 x","Min Outside Diameter","Bottom Terminal Comments","(4) .688 hole (1) blade - spaced 1.75"" square","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.50 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 Dia. Holes - 14.250 Dia. BC",""
"050505RJ01A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","O Plus C","Prismatic Lens","Oil to Air","0 to 30 deg. from vertical","Draw Lead","3.0","362 kV","1300 kV","230 kV","","","pfds.","pfds.","600 Amps","","","78.75 in.","27.6 in.","","27.6 in.","","14.5 in.","140 in.","262.125 in.","101.7 in.","112.7 in.","133.1 in.","10000 ft.","1525 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.250-12UN-2A x 3.94 USABLE THREAD x","Min Outside Diameter","Bottom Terminal Comments","2.25 I/D Tube","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","14.5 in.","Epoxy Coated Shield and Terminal Kit","(12) 36.0 (1.420) Dia. Holes - 711 (28.0) Dia. BC",""
"050512RJ03A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","25 kV","150 kV","16 kV","","","pfds.","pfds.","","12000 Amps","","25.562 in.","","","","","13.312 in.","20.531 in.","22.312 in.","12.343 in.","15.281 in.","","10000 ft.","407 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","(18).625 holes per blade, (4) blades x","Min Outside Diameter","Bottom Terminal Comments","(12) .75-10 on 7.5 b.c.","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","14.000 in.","Epoxy Coated Shield and Terminal Kit","(12) .875 Dia. Holes - 18.500 Dia. BC","Viton gaskets ONLY"
"050601RJ01A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Glass Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","1.0","34.5 kV","200 kV","kV","","","pfds.","pfds.","400 Amps","","","8.75 in.","3 in.","","3 in.","","4 in.","27.625 in.","39.4 in.","18.125 in.","20.5 in.","23.75 in.","10000 ft.","50 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12 x 2.125 x","Min Outside Diameter","Bottom Terminal Comments",".875 dia I.D.","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.5 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 SLOTED Holes - 8.250 BC",""
"050711RJ01A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","AB","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Bottom","1.0","35 kV","200 kV","22 kV","","","489 pfds.","pfds.","","2000 Amps","2000 Amps","22.5 in.","10 in.","10 in.","10 in.","10 in.","4.5 in.","22.625 in.","35 in.","14.632 in.","16.375 in.","","10000 ft.","101 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.0-12 x 2.5 x","Min Outside Diameter","Bottom Terminal Comments","2.5-12 x 3.375","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.75 in.","Epoxy Coated Shield and Terminal Kit","(4) .750 DIA. ON A 8.25 B.C.",""
"050909RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Glass Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","1.0","25 kV","150 kV","16 kV","","","1081 pfds.","pfds.","","4000 Amps","","34.312 in.","20.75 in.","","20.75 in.","","6.125 in.","24.312 in.","22.7 in.","12 in.","15.187 in.","","10000 ft.","240 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","4.0-10 x 4.125, SP x","Min Outside Diameter","Bottom Terminal Comments","(4) .688 hole blade, .750 thick","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","6.5 in.","Epoxy Coated Shield and Terminal Kit","(6) .625 Dia. Holes - on 10.875 Dia. BC",""
"050909RJ00B","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","A","","Oil to Air","vertical","Bottom","2.0","25 kV","150 kV","16 kV","","","pfds.","pfds.","","6000 Amps","","33.375 in.","","","18 in.","","9.141 in.","18.734 in.","20.5 in.","8.953 in.","11.774 in.","","4350 ft.","260 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","6.0-10x10.0 x 6.125 x","Min Outside Diameter","Bottom Terminal Comments","5.814 dia smooth with 2 grooves","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","9.312 in.","Epoxy Coated Shield and Terminal Kit","(6) .625 Dia. Holes - 13.750 Dia. BC",""
"050G0400BA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","EEMAC","Epoxy Bowl","Oil to Air","0 to 30 deg. from vertical","Draw Lead","99.0","50 kV","250 kV","31 kV","","","252 pfds.","pfds.","400 Amps","","","20.5 in.","10 in.","","10 in.","","4.12 in.","29.094 in.","39.4 in.","18.125 in.","20.5 in.","24.765 in.","3300 ft.","70 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12UN-2A 2.562 Usable Thread x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments",".875 hole I/D","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.25 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 Slotted Holes EQUALLY SPACED on 8.250 BC",""
"050G0400CA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","O Plus C","Epoxy Bowl","Oil to Air","0 to 30 deg. from vertical","Draw Lead","3.0","50 kV","250 kV","31 kV","","","404 pfds.","pfds.","400 Amps","","","32.125 in.","21.656 in.","","21.656 in.","","4.12 in.","29.196 in.","39.4 in.","18.125 in.","20.5 in.","24.765 in.","3300 ft.","81 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.562 x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","DrLd-0.875 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.25 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 Slotted Holes EQUALLY SPACED on 8.250 BC",""
"050G1200DA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","EEMAC","Epoxy Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","4.0","50 kV","250 kV","31 kV","","","251.2 pfds.","pfds.","","1200 Amps","","22.75 in.","10 in.","","10 in.","","4.12 in.","29.094 in.","39.4 in.","18.125 in.","20.5 in.","","3300 ft.","82 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.562 x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.5 OD - 12 x 2.125, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.25 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 Slotted Holes EQUALLY SPACED on 8.250 BC","NONE"
"050G1200FA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","EEMAC","Epoxy Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","4.0","50 kV","250 kV","31 kV","","","381.7 pfds.","0 pfds.","","1200 Amps","","34.375 in.","21.656 in.","","21.656 in.","","4.12 in.","29.593 in.","40.035 in.","18.453 in.","20.828 in.","","3300 ft.","97 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.562 In x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.5 OD - 12 x 2.125, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.25 in.","Epoxy Coated Shield and Terminal Kit","(4) .875 Slotted Holes EQUALLY SPACED on 8.250 BC",""
"050G2000GA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","EEMAC","Glass Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","2.0","50 kV","250 kV","31 kV","","","296 pfds.","0 pfds.","","2000 Amps","","24.5 in.","10 in.","","10 in.","","5.15 in.","30.562 in.","39.469 in.","20.109 in.","23.109 in.","","3300 ft.","106 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.000-12UN-2A, 3.625 USABLE THD x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","2.000-12UN-2A, 3.875 USABLE THREAD","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.25 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 Slots - 9.250 Dia. BC",""
"050G2000HA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","O Plus C","Epoxy Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","4.0","50 kV","250 kV","31 kV","","","460.4 pfds.","0 pfds.","","2000 Amps","","36.125 in.","21.656 in.","","21.656 in.","","5.15 in.","30.561 in.","39.469 in.","20.109 in.","23.109 in.","","3300 ft.","117 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-2 OD - 12 x 3.625 In x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","Thrd-2 OD - 12 x 3.875, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.25 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 HOLES - 9.250 Dia. BC",""
"050G3000NA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","CSA","EEMAC","Glass Bowl","Oil to Air","0 to 30 deg. from vertical","Bottom","3.0","50 kV","250 kV","31 kV","","","420 pfds.","pfds.","","3000 Amps","","37.031 in.","21.656 in.","","21.656 in.","","6.438 in.","31.297 in.","41.6 in.","20.031 in.","23.031 in.","","3300 ft.","227 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 4 In x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","Thrd-3 OD - 12 x 4.5, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","6.875 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 Dia. Holes on 10.260 Dia. BC",""
"051012RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","T","","Oil to Air","vertical","Bottom","1.0","25 kV","150 kV","16 kV","","","pfds.","pfds.","","12000 Amps","","30.71 in.","21 in.","","21 in.","","13.648 in.","18.9 in.","30 in.","11.094 in.","13.094 in.","","10000 ft.","445 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","(6) .688 holes per blade, (4) blades x","Min Outside Diameter","Bottom Terminal Comments","(8) .625-11 x 1.575 deep Tapped Holes","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","16.73 in.","Epoxy Coated Shield and Terminal Kit","(12) .875 slots, 19.69 dia B.C.","125 Deg. C Insulation Class"
"060210RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","3.0","115 kV","550 kV","88 kV","","","317 pfds.","2547 pfds.","800 Amps","","","36.25 in.","16.75 in.","","16.75 in.","","8.75 in.","59.656 in.","104.5 in.","42.14 in.","49.515 in.","49.5 in.","4200 ft.","413 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12UN-2A, 2.000 USABLE THD x","Min Outside Diameter","Bottom Terminal Comments","1.625 I.D., (4).375-16x3.750BC","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","9.75 in.","Epoxy Coated Shield and Terminal Kit","(9) 1.250 Slots - 18.875 BC",""
"060213RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C II","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","3.0","138 kV","650 kV","88 kV","","","436 pfds.","4396 pfds.","800 Amps","","","50.312 in.","26.875 in.","","26.875 in.","","7.725 in.","68.406 in.","150.375 in.","51.031 in.","54.781 in.","63.827 in.","10000 ft.","370 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12x2.125, SP x","Min Outside Diameter","Bottom Terminal Comments","1.625 id tube","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.000 in.","Epoxy Coated Shield and Terminal Kit","(6) 1.250 Holes - 14.250 BC",""
"060308RJ01A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE",".AB","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","1.0","69 kV","350 kV","44 kV","","","222 pfds.","pfds.","400 Amps","","","19.812 in.","5.875 in.","","6.75 in.","","4.893 in.","37.94 in.","72.28 in.","24.781 in.","30.281 in.","34.563 in.","10000 ft.","130 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12x2.25, NP x","Min Outside Diameter","Bottom Terminal Comments",".875 Dia. Tube ID","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.625 in.","Epoxy Coated Shield and Terminal Kit","(8) 0.625 Holes - 9.75",""
"060426RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","2.0","25 kV","150 kV","16 kV","","","pfds.","pfds.","","10000 Amps","","13.56 in.","","","","","13.312 in.","23.75 in.","18 in.","9.125 in.","12.062 in.","","10000 ft.","450 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","9.875 SMOOTH x 9.94 x","Min Outside Diameter","Bottom Terminal Comments","(12) .75-10 on 7.5 b.c.","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","13.812 in.","Epoxy Coated Shield and Terminal Kit","(12) .875 Dia. Holes - 18.500 Dia. BC",""
"060705RJ00B","","7B485BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Prismatic Lens","Oil to Air","0 to 20 deg. from vertical","Draw Lead","1.0","161 kV","750 kV","146 kV","","","418 pfds.","6664 pfds.","840 Amps","","","55.94 in.","26.75 in.","","26.75 in.","","9.013 in.","76.166 in.","131.94 in.","50.295 in.","55.239 in.","63.576 in.","5200 ft.","628 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.125 OD - 12 x 2.25 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","DrLd-1.625 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","10.500 in.","Epoxy Coated Shield and Terminal Kit","(6) .750 Dia. Holes - 13.750 Dia. BC",""
"060705RJ00C","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","9 kV","95 kV","5.5 kV","","","pfds.","pfds.","","3300 Amps","","16.25 in.","","","7.25 in.","","4.378 in.","12.125 in.","7 in.","4.458 in.","6.708 in.","","10000 ft.","72 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.25-12x3.900 x","Min Outside Diameter","Bottom Terminal Comments","2.25-12x4.00","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.375 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes - 8.250 Dia. BC","Min. oil level 2.500 in. above porcelain for horizontal mounting."
"060706RJ00A","","W15B399BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical/horizontal","Bottom","1.0","25 kV","150 kV","16 kV","","","833 pfds.","pfds.","","9000 Amps","","17.688 in.","0 in.","","0 in.","","11.5 in.","18.625 in.","28.5 in.","10.312 in.","13.81 in.","","10000 ft.","450 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Bld-4 w/ 10-0.688Holes x - In x","Min Outside Diameter","Bottom Terminal Comments","Blade-2 w/ 6-0.688 Holes x In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","12.25 in.","Epoxy Coated Shield and Terminal Kit","(9) .812 holes on 18.875 BC",""
"060801RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Epoxy Bowl","Oil to Air","0 to 20 deg. from vertical","Bottom","2.0","25 kV","150 kV","16 kV","","","922 pfds.","pfds.","","4000 Amps","","30.5 in.","21 in.","","21 in.","","6.12 in.","24.25 in.","22.656 in.","12.039 in.","15.227 in.","","10000 ft.","171 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 4.5 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Thrd-3 OD - 12 x 3.375, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","6.062 in.","Epoxy Coated Shield and Terminal Kit","",""
"060905RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Interchangable","IEEE","O Plus C","Prismatic Lens","Oil to Air","0 to 20 deg. from vertical","Bottom","4.0","161 kV","750 kV","146 kV","","","329 pfds.","2825 pfds.","","1600 Amps","2000 Amps","48.81 in.","20.69 in.","20.69 in.","20.69 in.","20.69 in.","10.75 in.","78.17 in.","131.938 in.","50.28 in.","","","5200 ft.","647 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2.0-12x2.625, SP x","Min Outside Diameter","Bottom Terminal Comments","(8) .5-13 holes on 6.75 bc","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","19.375 in.","Epoxy Coated Shield and Terminal Kit","(9) 1.188 holes on 23.250 BC",""
"061113RJ00A","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE",".AB","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","1.0","138 kV","650 kV","88 kV","","","436 pfds.","4396 pfds.","800 Amps","","","49.88 in.","26.75 in.","","26.875 in.","","7.725 in.","64.44 in.","150.375 in.","51.031 in.","54.781 in.","59.736 in.","10000 ft.","370 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12 x 2.25,SP x","Min Outside Diameter","Bottom Terminal Comments","1.625 id tube","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.000 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 Holes - 12.000 BC",""
"069N0412AA","","","8 wks.","Contact Us","Contact Us","Silicone","Gray","","","Transformer","IEEE","O Plus Dry","","Oil to Air","vertical/horizontal","Draw Lead and Bottom","1.0","69 kV","350 kV","44 kV","","","345 pfds.","pfds.","400 Amps","1200 Amps","","37.48 in.","21.65 in.","","21.65 in.","","3.86 in.","34.45 in.","71.93 in.","27.11 in.","30.32 in.","31.69 in.","10000 ft.","65 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.125 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Thrd-1.5 OD - 12 x 2.25, 1.18 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.72 in.","Epoxy Coated Shield and Terminal Kit","","PE Stamped Seismic Report = 1ZUA938517-BAD"
"069N0700AA","","","8 wks.","Contact Us","Contact Us","Silicone","Gray","","","Transformer","IEEE","O Plus Dry","","Oil to Air","vertical/horizontal","Draw Lead","1.0","69 kV","350 kV","44 kV","","","428 pfds.","pfds.","700 Amps","","","35.12 in.","21.65 in.","","21.65 in.","","4.45 in.","44.05 in.","92.23 in.","30.132 in.","33.34 in.","36.3 in.","10000 ft.","84 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.5 OD - 12 x 2.5 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","DrLd-1.5 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.32 in.","Epoxy Coated Shield and Terminal Kit","",""
"069N2000AA","","","10 wks.","Contact Us","Contact Us","Silicone","Gray","","","Transformer","IEEE","O Plus Dry","","Oil to Air","vertical/horizontal","Bottom","1.0","69 kV","350 kV","44 kV","","","428 pfds.","pfds.","","2000 Amps","","39.49 in.","21.65 in.","","21.65 in.","","4.45 in.","35.04 in.","71.93 in.","27.11 in.","30.32 in.","","10000 ft.","81 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-2 OD - 12 x 3.15 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-1 w/ 2-0.563 Holes x1.75 In, .75 thk","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.32 in.","Epoxy Coated Shield and Terminal Kit","",""
"069N2000AC","","","Contact Us","Contact Us","Contact Us","Silicone","Gray","","","Transformer","IEEE","O Plus Dry","","Oil to Air","vertical/horizontal","Bottom","1.0","69 kV","350 kV","44 kV","","","428 pfds.","pfds.","","2000 Amps","","41.25 in.","21.65 in.","","21.65 in.","","4.45 in.","35.04 in.","71.93 in.","27.11 in.","30.32 in.","","10000 ft.","82 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-2 OD - 12 x 3.15 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-1 w/ 4-0.562 Holes 1.75x1.75 in, .500 thick","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.32 in.","Epoxy Coated Shield and Terminal Kit","",""
"069N3000AA","","","10 wks.","Contact Us","Contact Us","Silicone","Gray","","","Transformer","IEEE","O Plus Dry","","Oil to Air","vertical/horizontal","Bottom","1.0","69 kV","350 kV","44 kV","","","582 pfds.","pfds.","","3000 Amps","","39.49 in.","21.65 in.","","21.65 in.","","5.83 in.","35.04 in.","71.93 in.","27.11 in.","30.32 in.","","10000 ft.","142 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-3 OD - 12 x 3.15 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-1 w/ 4-0.562 Holes 1.75x1.75 In, .75 thk","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","6.69 in.","Epoxy Coated Shield and Terminal Kit","","PE Stamped Seismic Report = 1ZUA938517-BAJ"
"069W0400AF","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","5.0","69 kV","350 kV","44 kV","","","271 pfds.","pfds.","400 Amps","","","30.438 in.","16.5 in.","","16.5 in.","","5.15 in.","39.484 in.","56.906 in.","24.547 in.","29.297 in.","27.562 in.","10000 ft.","140 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.125-12x2.25 x","Min Outside Diameter","Bottom Terminal Comments",".875 id tube","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","7.75 in.","Epoxy Coated Shield and Terminal Kit","(6) .625 Dia. Slots - 10.875 Dia. BC",""
"069W0400AP","","W17B606BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","O Plus C","Epoxy Bowl","Oil to Air","0 to 60 deg. from vertical","Draw Lead","5.0","69 kV","350 kV","44 kV","","","276.8 pfds.","pfds.","400 Amps","","","30.438 in.","16.5 in.","","16.5 in.","","5.15 in.","37.734 in.","56.906 in.","24.547 in.","27.547 in.","33.875 in.","10000 ft.","130 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-1.125 OD - 12 x 2.25 In x 12 UN - 2A","Min Outside Diameter","Bottom Terminal Comments","DrLd-0.875 ID In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.750 in.","Epoxy Coated Shield and Terminal Kit","(6) .875 Holes - 9.250 BC",""
